site_name,component,state,country,operational_status,latitude,longitude
Syracuse MCRC,MC Reserve,New York,United States,Active,43.1001011135,-76.1210991111
Tinker Support Annex,AF Active,Oklahoma,United States,Active,35.4036965841,-97.3603027818
Fort Fisher Recreation Site,AF Active,North Carolina,United States,Active,33.9811703229,-77.9164586721
Barksdale AFB,AF Active,Louisiana,United States,Active,32.5002809582,-93.5999413403
Cannon AFB,AF Active,New Mexico,United States,Active,34.3840149372,-103.321106281
Cannon AFB Site 2,AF Active,New Mexico,United States,Active,34.4091917117,-103.328244295
Luke Air Force Auxiliary Field No 1,AF Active,Arizona,United States,Active,33.7159742765,-112.527923384
Gulfport-Biloxi Regional Airport (ANG),AF Guard,Mississippi,United States,Active,30.4107264037,-89.0612086467
NG Auburn Training Site,Army Guard,Maine,United States,Active,44.0862933486,-70.2827983551
NG Bangor Training Site,Army Guard,Maine,United States,Active,44.8095482939,-68.8333959892
NG Santa Fe - Onate Complex TS,Army Guard,New Mexico,United States,Active,35.5697139671,-106.081041964
NG TS BBTS,Army Guard,Delaware,United States,Active,38.5475743328,-75.0633012841
NG Camp Murray,Army Guard,Washington,United States,Active,47.1167164937,-122.56884003
NG Williamstown,Army Guard,West Virginia,United States,Active,39.3531258872,-81.4421100584
NG Camp Mabry,Army Guard,Texas,United States,Active,30.3186106075,-97.7615720588
NG Mitchell Complex,Army Guard,South Dakota,United States,Active,43.7618744147,-98.0438934226
Imperial Beach NOLF,Navy Active,California,United States,Active,32.5624031522,-117.112009859
NAS Lemoore CA,Navy Active,California,United States,Active,36.3191796478,-119.93398605
Harbor Drive,Navy Active,California,United States,Active,32.7246963035,-117.218431918
NGA Arnold Site,AF Active,Missouri,United States,Active,38.4161872655,-90.3986079959
Nellis AFB,AF Active,Nevada,United States,Active,36.2692051709,-114.98483901
Naval Base Kitsap Bremerton WA,Navy Active,Washington,United States,Active,47.5555933853,-122.652356505
Fort Jackson,Army Active,South Carolina,United States,Active,34.0398329341,-80.8279912711
Fort Polk,Army Active,Louisiana,United States,Active,31.1583587094,-93.1211074078
Hunt Stagefield AL,Army Active,Alabama,United States,Active,31.3801590885,-85.5801110187
Fort De Russy,Army Active,Hawaii,United States,Active,21.2818165031,-157.833889161
Fort Detrick Forest Glen Annex,Army Active,Maryland,United States,Active,39.0062532255,-77.0549719287
SDA Area,Navy Active,Virginia,United States,Active,36.9200366625,-76.3166237521
Redington Township,Navy Active,Maine,United States,Active,44.9888095805,-70.4506315715
Bratenahl,Navy Active,Ohio,United States,Active,41.5424613695,-81.6261664945
Avon Park AF Range,AF Active,Florida,United States,Active,27.646918201,-81.2767274884
Langley AFB,AF Active,Virginia,United States,Active,37.0855727581,-76.3643682001
Charleston AFB,AF Active,South Carolina,United States,Active,32.8994019151,-80.0503551711
McEntire Joint National Guard Base,AF Guard,South Carolina,United States,Active,33.9228868864,-80.8006861299
Schenectady ANG MAP,AF Guard,New York,United States,Active,42.8521798908,-73.9228087372
Tulsa IAP,AF Guard,Oklahoma,United States,Active,36.21702376,-95.8747750984
Hulman Fld,AF Guard,Indiana,United States,Active,39.4539927154,-87.294448703
McConnell AFB,AF Active,Kansas,United States,Active,37.6251905946,-97.2602816317
NG Grayling Airfield,Army Guard,Michigan,United States,Active,44.6816424356,-84.7276786991
NG Camp Ripley,Army Guard,Minnesota,United States,Active,46.2108188793,-94.4252675838
NG Knightstown,Army Guard,Indiana,United States,Active,39.7713454952,-85.5168694395
NG Camp Atterbury,Army Guard,Indiana,United States,Active,39.2975804442,-86.0464169812
NG Rio Rancho TS,Army Guard,New Mexico,United States,Active,35.3734788352,-106.652026372
NG Sea Girt NJ NGTC,Army Guard,New Jersey,United States,Active,40.1238242063,-74.0373077638
NG Floyd Edsall Training Center,Army Guard,Nevada,United States,Active,36.2909200901,-115.041255853
NG MTA Camp Santiago,Army Guard,Puerto Rico,Puerto Rico,Active,18.0287728142,-66.283607501
NG TS Keaukaha Mil Res,Army Guard,Hawaii,United States,Active,19.7065531733,-155.038477564
NAS Fort Worth JRB TX,Navy Active,Texas,United States,Active,32.7688101038,-97.4336577395
NOLF Santa Rosa,Navy Active,Florida,United States,Active,30.6093001746,-86.9388110937
Agana,Navy Active,Guam,Guam,Active,13.473014243,144.764869419
Barrigada - NAVBASE Guam,Navy Active,Guam,Guam,Active,13.4768144414,144.828805596
NAVBASE Ventura Cty Point Mugu CA,Navy Active,California,United States,Active,34.1123267884,-119.110013772
NAVSUPPFAC Beaufort SC,Navy Active,South Carolina,United States,Active,32.3890480095,-80.681975435
Chesapeake Bay Detach,Navy Active,Maryland,United States,Active,38.6584730674,-76.5320162332
NAVPMOSSP Mtn View,Navy Active,California,United States,Active,37.4129145643,-122.028398714
Robins AFB,AF Active,Georgia,United States,Active,32.6175524438,-83.5815847711
Fort Leavenworth,Army Active,Kansas,United States,Active,39.3641697603,-94.9182512152
England Authority,Army Active,Louisiana,United States,Active,31.3346732622,-92.5403418877
Makua Mil Reserve,Army Active,Hawaii,United States,Active,21.5302283589,-158.206472387
Blossom Point Research Facility,Army Active,Maryland,United States,Active,38.421819049,-77.0922516528
MCRD San Diego,MC Active,California,United States,Active,32.7401689479,-117.197685657
Barry Goldwater Range,MC Active,Arizona,United States,Active,32.4982754369,-114.083222822
NNSY South Gate,Navy Active,Virginia,United States,Active,36.8036988938,-76.295425493
Fort Sheridan,Navy Active,Illinois,United States,Active,42.2096141173,-87.8061179586
Naval Station Great Lakes IL,Navy Active,Illinois,United States,Active,42.3134486946,-87.837631497
NAS Kingsville TX,Navy Active,Texas,United States,Active,27.4989619255,-97.8128477123
Davis Monthan AFB,AF Active,Arizona,United States,Active,32.1608016672,-110.848722373
Fairchild AFB,AF Active,Washington,United States,Active,47.6186626303,-117.648384327
North Air Force Auxiliary Field,AF Active,South Carolina,United States,Active,33.6025364855,-81.0785389952
Altus AFB,AF Active,Oklahoma,United States,Active,34.6637724659,-99.2745536786
Channel Islands ANG Station,AF Guard,California,United States,Active,34.1387961484,-119.111103634
Tucson IAP,AF Guard,Arizona,United States,Active,32.131404054,-110.949250831
Barnes Map (ANG),AF Guard,Massachusetts,United States,Active,42.1693653615,-72.7179961808
Kelly Field Annex,AF Active,Texas,United States,Active,29.3803737409,-98.5860052814
NG Camp Minden Training Site,Army Guard,Louisiana,United States,Active,32.558920284,-93.3940534723
NG Camp Bowie (State),Army Guard,Texas,United States,Active,31.6398553673,-98.9354829808
NG Cumming,Army Guard,Georgia,United States,Active,34.2243340362,-84.113051593
NG WH Ford Regional Tng Ctr,Army Guard,Kentucky,United States,Active,37.2776632835,-87.2010420465
Target B-20,Navy Active,Nevada,United States,Active,39.8842893913,-118.362806519
Fleming Key Magazine,Navy Active,Florida,United States,Active,24.5789198946,-81.7967315291
Truman Annex,Navy Active,Florida,United States,Active,24.5465408051,-81.8046496008
NMIC Suitland,Navy Active,Maryland,United States,Active,38.8488448496,-76.9366921526
Camp Michael Monsoor,Navy Active,California,United States,Active,32.6737007771,-116.443716929
NAVPMOSSP Magna Utah,Navy Active,Utah,United States,Active,40.6783887021,-112.073304281
Tumon,Navy Active,Guam,Guam,Active,13.5097297889,144.809944738
Kalaeloa,Navy Active,Hawaii,United States,Active,21.3205176793,-158.057471732
Keyport NUWC,Navy Active,Washington,United States,Active,47.6974412235,-122.621247466
Grant Training Annex,Army Active,Washington,United States,Active,47.2162520667,-119.310549756
West Point Military Reservation,Army Active,New York,United States,Active,41.3614873711,-74.0248942546
US Army Adelphi Laboratory Center,Army Active,Maryland,United States,Active,39.0329014118,-76.9604679336
Fort Detrick Glen Haven Annex,Army Active,Maryland,United States,Active,39.0334336403,-77.0417682376
Fort Wainwright,Army Active,Alaska,United States,Active,64.5447194846,-147.708445641
Savanna Depot Act,Army Active,Illinois,United States,Inactive,42.2279934146,-90.3368472542
Cornhusker AAP,Army Active,Nebraska,United States,Inactive,40.9388913146,-98.5167759592
MCB Camp Lejeune (West Site),MC Active,North Carolina,United States,Active,34.621693842,-77.4992450772
MCB Hawaii (Kaneohe Bay),MC Active,Hawaii,United States,Active,21.4453917613,-157.751594777
Dam Neck,Navy Active,Virginia,United States,Active,36.7885299152,-75.9653974721
ALF Fentress Chesapke,Navy Active,Virginia,United States,Active,36.6942700107,-76.1329722649
NSWC Carderock,Navy Active,Maryland,United States,Active,38.9749001795,-77.192328114
Barrigada - NSA Andersen,Navy Active,Guam,Guam,Active,13.4563838661,144.812569881
Manchester,Navy Active,Washington,United States,Active,47.5661084246,-122.545637948
Los Angeles Air Force Annex No4,AF Active,California,United States,Active,33.858772816,-118.235754982
Ellsworth AFB,AF Active,South Dakota,United States,Active,44.1579766168,-103.094346705
Boise Air Terminal,AF Guard,Idaho,United States,Active,43.5568774906,-116.222478963
Hancock Field,AF Guard,New York,United States,Active,43.1027478687,-76.1033314086
Montgomery Regional Airport ANGB,AF Guard,Alabama,United States,Active,32.3048358496,-86.4015268137
Sky Harbor IAP,AF Guard,Arizona,United States,Active,33.4258330523,-112.011682902
Dix,AF Active,New Jersey,United States,Active,40.0037812107,-74.523842926
Capital Airport,AF Guard,Illinois,United States,Active,39.8478937488,-89.6677190978
NG Orchard Mates Boise,Army Guard,Idaho,United States,Active,43.2971106582,-116.059842836
NG Bend Cotef,Army Guard,Oregon,United States,Active,44.0257924999,-121.128279438
NG VTS Milan,Army Guard,Tennessee,United States,Active,35.885569159,-88.6648080701
NG Florence Military Reservation,Army Guard,Arizona,United States,Active,33.0987644874,-111.356808928
NG Cambridge Springs,Army Guard,Pennsylvania,United States,Active,41.7941540406,-80.0478951
NG Camp Williams Tomah MTA,Army Guard,Wisconsin,United States,Active,43.928022567,-90.269506769
ALF Waldron,Navy Active,Texas,United States,Active,27.634308153,-97.3138397664
NAS Key West FL,Navy Active,Florida,United States,Active,24.5749669839,-81.69039869
Holloman AFB,AF Active,New Mexico,United States,Active,32.9177764497,-106.133624679
Bayview Idaho,Navy Active,Idaho,United States,Active,47.9773954717,-116.561529071
Fort Sill,Army Active,Oklahoma,United States,Active,34.6822588176,-98.4834145201
Fort Benning GA,Army Active,Georgia,United States,Active,32.3999496616,-84.8006217989
Red River Army Depot,Army Active,Texas,United States,Active,33.4337413314,-94.3556715243
Fort Monmouth Main Post,Army Active,New Jersey,United States,Inactive,40.3070528778,-74.0583806661
Destin Moreno Point,Army Active,Florida,United States,Active,30.4110996281,-86.4989034217
MCSF Blount Island (FL),MC Active,Florida,United States,Active,30.4013274303,-81.5250231825
Brooklyn NY,MC Reserve,New York,United States,Active,40.5814831188,-73.8816296342
Northwest Chesapeake VA,Navy Active,Virginia,United States,Active,36.5590985515,-76.2674854841
Naval Research Lab,Navy Active,District of Columbia,United States,Active,38.8240416139,-77.0233529625
FLC Fuel Depot Heckscher,Navy Active,Florida,United States,Active,30.4001829676,-81.6274334623
OLF Bravo,Navy Active,Mississippi,United States,Active,32.7964731631,-88.8318661019
Eglin Air Force Auxiliary Field 6,AF Active,Florida,United States,Active,30.6317649852,-86.7409720552
Fort Eustis,AF Active,Virginia,United States,Active,37.1322038995,-76.5886922923
Pittsburgh IAP (ARS),AF Reserve,Pennsylvania,United States,Active,40.4935734315,-80.2110502515
NG MTA Camp Clark Nevada,Army Guard,Missouri,United States,Active,37.8202969363,-94.2914729598
