site_name,component,state,country,operational_status,latitude,longitude
CSO Barbers Point HI,Navy Active,Hawaii,United States,Inactive,21.312229301,-158.066092323
Fort Bliss,Army Active,Texas,United States,Active,32.26208341,-106.075404444
Jim Creek,Navy Active,Washington,United States,Active,48.1997770937,-121.925681299
Pohakuloa Training Area,Army Active,Hawaii,United States,Active,19.7144170574,-155.626600781
Military Ocean Tml Sunny Point,Army Active,North Carolina,United States,Active,34.0182119696,-77.9732412004
Waianae Kai Military Reservation,Army Active,Hawaii,United States,Active,21.4469197196,-158.191081477
Picatinny Arsenal,Army Active,New Jersey,United States,Active,40.9543096396,-74.5446255065
Arlington Service Ctr,Navy Active,Virginia,United States,Active,38.8677348506,-77.0793350205
CBC Gulfport MS,Navy Active,Mississippi,United States,Active,30.3779481049,-89.1263993012
UTTR - North,AF Active,Utah,United States,Active,41.0243231993,-113.216942448
March ARB,AF Reserve,California,United States,Active,33.8888501058,-117.258472446
Newington Defense Fuel Support Point,AF Active,New Hampshire,United States,Active,43.1138099132,-70.814765745
Gila Bend Air Force Auxiliary Field,AF Active,Arizona,United States,Active,32.890154532,-112.728184427
Lakehurst,AF Active,New Jersey,United States,Active,40.0272120222,-74.3752601945
Randolph AFB,AF Active,Texas,United States,Active,29.5294863383,-98.2783394708
NG Macon Readiness Center,Army Guard,Georgia,United States,Active,32.8613917382,-83.6056544923
NG MTA Camp Butner,Army Guard,North Carolina,United States,Active,36.2015259374,-78.801333792
NG MTA Camp Rilea,Army Guard,Oregon,United States,Active,46.1288264462,-123.944346596
NG Frankfort Boone NG Center,Army Guard,Kentucky,United States,Active,38.1853052947,-84.9089928237
Makaha Ridge,Navy Active,Hawaii,United States,Active,22.1303466109,-159.725349007
NOLF Wolf,Navy Active,Alabama,United States,Active,30.3446850234,-87.5407700889
NAVSUPPACT Annapolis,Navy Active,Maryland,United States,Active,38.9820668667,-76.4838558469
Jonathan Dickinson Tracking Annex,AF Active,Florida,United States,Active,26.9825205984,-80.1068614293
Fort Gordon,Army Active,Georgia,United States,Active,33.3566628083,-82.2372795186
Camp Mackall,Army Active,North Carolina,United States,Active,35.0301022844,-79.4816241675
Indiana Army Ammunition Plant,Army Active,Indiana,United States,Inactive,38.452267261,-85.6060059365
MCAS Beaufort,MC Active,South Carolina,United States,Active,32.484834871,-80.7071873496
NAVSUPPACT Norfolk NSY,Navy Active,Virginia,United States,Active,36.816475644,-76.2994222614
Lafayette Rvr Complex,Navy Active,Virginia,United States,Active,36.9022639632,-76.3023442266
Bangor WA,Navy Active,Washington,United States,Active,47.7233921483,-122.714839767
Eglin Air Force Auxiliary Field 3 Duke Fld,AF Active,Florida,United States,Active,30.6490705509,-86.5276912145
Wright-Patt AFB,AF Active,Ohio,United States,Active,39.8174211612,-84.0507057402
Lackland AFB,AF Active,Texas,United States,Active,29.38670604,-98.6180831793
NG Sparta Armory,Army Guard,Illinois,United States,Active,38.160004736,-89.7239409546
NG MTA Camp Crowder Neosho,Army Guard,Missouri,United States,Active,36.7939679589,-94.3642921962
NG Hollidaysburg Readiness Center,Army Guard,Pennsylvania,United States,Active,40.4394550384,-78.4147910881
NG Camp Beauregard,Army Guard,Louisiana,United States,Active,31.3776577083,-92.3866852494
NG Helena Aviation RC- AASF- C12,Army Guard,Montana,United States,Active,46.608471557,-111.971041404
NG Lansing Joint Forces Readiness Center,Army Guard,Michigan,United States,Active,42.7681480625,-84.5713082578
NG Camp Perry Joint Training Center,Army Guard,Ohio,United States,Active,41.54343955,-83.0221332784
NG Oklahoma Military Department,Army Guard,Oklahoma,United States,Active,35.5035184926,-97.4701679958
